usuario,perfilLink,textoComentario,timestamp,dataFormatada,tempoExibido,likes
_vulp1xx,_vulp1xx,"cara, meu irmao dorme em um quarto enorme SÓ PRA ELE com ar condicionado e eu durmia na sala, sem nem um ventilador no maior calor do mundo. agr depois de mt reclamar eu posso por um colchao no quarto da minha mae e padrasto (ja escutei coisas e fico enojada) e todo dia cedo me expulsam do colchao e eu tenho q ficar na sala ou na sala de jantar o dia inteiro(agora nas ferias, normalmente passo a tarde e a noite na faculdade) enquanto meu irmao passa o dia todo no quarto dele, jogando e assistindo desenho(17 anos) e so acorda dps de uma hora da tarde TODO SANTO DIA. minha mae me cobra com tarefas domesticas mas pra isso eu bato o pé, n sujo nada, o que eu sujo de louça eu lavo, faço a minha comida separado e tudo mais. ja q meu irmao n tem nem q arrumar o quarto dele, eu tambem nao vou limpar casa!",2023-07-04T21:27:18.000Z,"Jul 4, 2023",97w,5
34regina,34regina,"Na minha casa meu irmão não fazia nada, nem tirava prato da mesa, largava toalha molhada no chão...afinal tinha TRÊS MULHERES em casa, dizia minha mãe...minha avó morava com a gente 😢",2023-03-27T22:57:30.000Z,"Mar 27, 2023",111w,1
coragemamorautonomia,coragemamorautonomia,"meu irmao podia sair com os amigos e podia, ja pra mim meupai dizia q nao existe amigo",2023-03-20T05:02:00.000Z,"Mar 20, 2023",112w,0
machadosara25,machadosara25,"Enquanto tudo que eu fazia tinha uma defeito,meu irmão era endeusado por fazer o mínimo (é até hj)🤣 enfim,foram tantas coisas que tenho até preguiça de escrever….",2023-03-12T22:10:16.000Z,"Mar 12, 2023",113w,2
imarianaduque,imarianaduque,"Cresci ouvindo minha vó dizer que meu irmão não podia fazer as tarefas de casa prq era homem. Aqui em casa eu já ensino meu filho de 4 anos a me ajudar, nem que seja com uma coisa simples, pegar a pá de lixo, colocar a roupa suja no cesto, me ajudar a estender roupa, de maneira lúdica mas que ele faça e entenda, tudo no jeito dele. Não quero que ele cresça homem folgado que não ajuda",2023-02-21T11:15:59.000Z,"Feb 21, 2023",116w,2
beacramo,beacramo,"Vixi... mtas!!! Teve aula de direção desde os 13 anos, enquanto eu tirei a CNH com 20 (com mto esforço) e só aprendi na auto escola... não precisava cozinhar, nem limpar a casa. As vezes nem o prato tirava da mesa. Enquanto eu ficava responsável por ajudar na faxina, na comida etc. Quando morava com meu ex e éramos convidados pra almoço de domingo, eu tinha que chegar antes, pra ajudar a fazer a comida. Ele chegava pra comer e ia embora logo depois, sem tirar um garfo do lugar... namoradas dormindo em casa antes de virarem namoradas e eu tendo que brigar pra poder ter hm namorado passando a noite depois de mais de 1 ano de namoro... assim vai 😢",2023-02-21T01:18:47.000Z,"Feb 20, 2023",116w,1
lidrummonds,lidrummonds,@doismundosemeio leia,2023-02-13T04:18:36.000Z,"Feb 13, 2023",117w,0
vivien.delima,vivien.delima,"@gabriela.silverio não é uma questão da sua familia, e sim social",2023-02-13T03:50:17.000Z,"Feb 13, 2023",117w,0
adriana.vonsperling,adriana.vonsperling,"Eu estava internada após uma cirurgia de cálculo renal. Estava bem e brinquei dizendo que cólica renal era algo que todo mundo acabava tendo um dia. Minha mãe respondeu prontamente: Ah, o (filho) não!",2023-02-12T14:13:18.000Z,"Feb 12, 2023",118w,1
_judsilva,_judsilva,"Fiquei triste ao ler os relatos... 😢 Na casa da minha mãe foi totalmente diferente! Eu tenho dois irmãos mais novos (o caçula é autista, e depende muito dos meus pais) e mesmo assim as tarefas de casa são iguais para os três! Meus irmãos lavam louça, varrem a casa, o do meio cozinha, minha mãe sempre fez questão de lembrar a gente que dentro de casa TODO MUNDO tem que colaborar pra não sobrecarregar ninguém! Crescemos vendo meu pai fazendo absolutamente TUDO: ele faz as compras do mês, cozinha, lava, passa (inclusive é o hobbie dele aos domingos), leva e busca meu irmão na escola, e todos trabalham fora! Assim todo mundo ""cansa e descansa"" igual 🙌",2023-02-10T22:54:10.000Z,"Feb 10, 2023",118w,0
elizcafe03,elizcafe03,Serviço doméstico.,2023-02-08T23:40:06.000Z,"Feb 8, 2023",118w,1
lizarebechi,lizarebechi,"Meu pai pagou a carta de motorista do meu irmão assim que ele fez 18 anos. Quando chegou a minha vez, “não precisava”. Tive que juntar dinheiro do meu trabalho e consegui tirar a carta aos 21.",2023-02-01T00:02:03.000Z,"Jan 31, 2023",119w,5
anaclara.bio,anaclara.bio,"Meu irmão ganhava tudo que pedia, sempre do mais caro. Eu já precisava batalhar pra conseguir as coisas. Isso vale para tudo: bicicleta custava 2 mil e compraram em 1 mes pra ele; minha guitarra era 300 conto acho que passei anossss pedindo. O mesmo foi pra uma cama de casal durante a faculdade. Eu guardei dinheiro e comprei uma usada pq meus pais não me davam uma; quando meu irmão começou a faculdade 2 anos depois ele ganhou uma cama nova zerinho de casal. Dirigir pra faculdade igual: eu tinha o carro na cidade da facul, mas não podia pegar estrada. Precisei passar uma situação de risco no ônibus para meus pais deixarem eu dirigir pra minha cidade natal. Enfim, várias coisas que nunca me fizeram ter nenhum problema com o meu irmão, eu amo ele demais e não podia pedir irmão melhor. Mas meus pais não enxergam essas diferenças e eu sempre senti que importava menos pra eles.",2023-01-31T15:42:22.000Z,"Jan 31, 2023",119w,0
calorinalinda,calorinalinda,Ficar com todas as tarefas da casa pq eles trabalhavam.,2023-01-31T12:58:40.000Z,"Jan 31, 2023",119w,1
julianatmiranda,julianatmiranda,"Minha mãe arrumou a cama do meu irmão até os 35 anos, pasmem",2023-01-31T00:17:30.000Z,"Jan 30, 2023",119w,2
