feature,frequency,rank,docfreq,group
irmão,969,1,683,all
casa,949,2,610,all
mãe,602,3,445,all
sempre,513,4,354,all
pai,445,5,301,all
anos,380,6,279,all
irmãos,377,7,287,all
nunca,306,8,240,all
tudo,280,9,226,all
hoje,262,10,231,all
podia,251,11,177,all
homem,217,12,178,all
pais,217,12,182,all
enquanto,203,14,177,all
nada,193,15,167,all
mulher,184,16,158,all
lavar,183,17,146,all
tarefas,176,18,155,all
homens,165,19,149,all
louça,163,20,142,all
irmã,163,20,134,all
fazia,162,22,145,all
sair,160,23,140,all
porque,160,23,125,all
mim,158,25,141,all
coisas,152,26,124,all
mulheres,149,27,128,all
ainda,141,28,123,all
todos,139,29,116,all
ajudar,128,30,111,all
carro,128,30,87,all
bem,120,32,110,all
dia,119,33,101,all
família,115,34,103,all
dois,113,35,93,all
limpar,104,36,90,all
filhos,100,37,93,all
quarto,98,38,78,all
vida,98,38,83,all
comida,97,40,78,all
coisa,95,41,90,all
vez,94,42,91,all
desde,93,43,85,all
novo,92,44,86,all
assim,91,45,79,all
arrumar,89,46,77,all
filho,89,46,71,all
velho,86,48,81,all
trabalho,83,49,73,all
filha,83,49,76,all
