feature,frequency,rank,docfreq,group
casa,110,1,66,all
irmão,109,2,62,all
mãe,84,3,50,all
machismo,70,4,68,all
sempre,67,5,46,all
pai,59,6,35,all
fazer,48,7,37,all
irmãos,45,8,29,all
anos,43,9,31,all
hoje,40,10,34,all
tudo,35,11,26,all
nunca,34,12,27,all
ser,29,13,23,all
pais,28,14,25,all
ter,27,15,24,all
homem,27,15,20,all
nada,26,17,20,all
podia,25,18,19,all
enquanto,24,19,20,all
todos,24,19,18,all
mim,24,19,20,all
ajudar,23,22,16,all
mulher,23,22,21,all
porque,22,24,16,all
mulheres,21,25,20,all
lavar,21,25,16,all
ainda,21,25,17,all
homens,20,28,18,all
tarefas,20,28,16,all
louça,20,28,16,all
irmã,19,31,15,all
bem,18,32,16,all
limpar,17,33,15,all
fazia,16,34,13,all
família,16,34,15,all
coisa,16,34,15,all
filhos,15,37,15,all
trabalho,14,38,13,all
todo,14,38,13,all
coisas,14,38,10,all
dois,14,38,12,all
assim,13,42,9,all
dia,13,42,12,all
pois,13,42,13,all
vez,13,42,12,all
dizia,13,42,12,all
vida,13,42,10,all
meninas,12,48,8,all
novo,12,48,11,all
única,12,48,12,all
