feature,frequency,rank,docfreq,group
casa,225,1,123,all
irmão,175,2,107,all
mãe,112,3,66,all
pai,99,4,55,all
sempre,99,4,63,all
podia,95,6,58,all
anos,80,7,49,all
irmãos,75,8,48,all
nunca,66,9,50,all
fazer,64,10,49,all
namorado,61,11,54,all
dormir,57,12,39,all
hoje,56,13,49,all
tudo,51,14,36,all
ser,51,14,37,all
pais,48,16,39,all
namorada,48,16,42,all
ter,44,18,36,all
sair,42,19,36,all
homem,40,20,32,all
ainda,37,21,30,all
quarto,36,22,31,all
nada,34,23,26,all
mulher,32,24,28,all
mim,32,24,26,all
coisas,32,24,26,all
vida,32,24,23,all
enquanto,31,28,25,all
porque,31,28,23,all
tarefas,30,30,25,all
dia,29,31,23,all
carro,29,31,17,all
namoradas,27,33,23,all
homens,26,34,23,all
irmã,26,34,22,all
bem,26,34,21,all
fazia,25,37,21,all
novo,24,38,22,all
ajudar,23,39,18,all
família,23,39,23,all
dois,23,39,17,all
vez,22,42,21,all
levar,22,42,20,all
mulheres,21,44,21,all
ficar,21,44,15,all
namorar,21,44,19,all
única,20,47,16,all
desde,19,48,16,all
vai,19,48,15,all
filha,19,48,14,all
