feature,frequency,rank,docfreq,group
casa,949,1,610,all
irmão,661,2,429,all
mãe,447,3,318,all
sempre,374,4,250,all
fazer,311,5,231,all
pai,281,6,176,all
anos,269,7,194,all
irmãos,259,8,189,all
nunca,227,9,172,all
tudo,209,10,167,all
podia,198,11,132,all
hoje,186,12,160,all
lavar,183,13,146,all
louça,163,14,142,all
ser,162,15,126,all
enquanto,161,16,139,all
homem,153,17,127,all
tarefas,150,18,130,all
nada,143,19,124,all
mulher,141,20,119,all
pais,140,21,118,all
irmã,126,22,101,all
fazia,124,23,111,all
coisas,122,24,98,all
homens,121,25,107,all
sair,118,26,106,all
porque,116,27,86,all
ajudar,115,28,98,all
ter,112,29,97,all
mulheres,110,30,91,all
ainda,109,31,94,all
limpar,104,32,90,all
todos,100,33,86,all
mim,96,34,87,all
dois,92,35,72,all
arrumar,89,36,77,all
comida,88,37,70,all
dia,87,38,73,all
bem,87,38,80,all
quarto,81,40,64,all
carro,80,41,54,all
família,78,42,70,all
dormir,75,43,55,all
novo,73,44,68,all
desde,71,45,63,all
assim,67,46,55,all
vida,67,46,54,all
almoço,66,48,60,all
filhos,66,48,63,all
coisa,65,50,61,all
