feature,frequency,rank,docfreq,group
irmão,199,1,115,all
casa,189,2,107,all
sempre,112,3,63,all
mãe,104,4,66,all
pai,91,5,57,all
fazer,89,6,64,all
anos,85,7,60,all
escola,75,8,60,all
faculdade,68,9,59,all
ser,67,10,48,all
tudo,65,11,48,all
nunca,61,12,43,all
podia,56,13,36,all
irmãos,53,14,38,all
pais,49,15,38,all
carro,47,16,30,all
hoje,46,17,43,all
enquanto,43,18,36,all
porque,40,19,28,all
nada,39,20,31,all
estudar,39,20,36,all
mulher,36,22,28,all
dia,33,23,25,all
ter,32,24,28,all
dois,31,25,21,all
dirigir,31,25,23,all
homem,31,25,25,all
todos,30,28,27,all
sair,30,28,26,all
tarefas,29,30,27,all
irmã,28,31,20,all
família,28,31,25,all
coisas,27,33,23,all
ainda,27,33,23,all
queria,26,35,25,all
mim,26,35,25,all
comida,25,37,19,all
fazia,24,38,22,all
coisa,24,38,22,all
trabalho,24,38,19,all
dinheiro,23,41,18,all
homens,23,41,21,all
sendo,23,41,18,all
precisava,22,44,17,all
fez,21,45,20,all
lavar,21,45,18,all
louça,20,47,17,all
mulheres,20,47,16,all
filhos,20,47,19,all
quarto,19,50,14,all
