feature,frequency,rank,docfreq,group
casa,322,1,177,all
irmão,281,2,158,all
sair,160,3,140,all
podia,153,4,100,all
sempre,148,5,93,all
mãe,142,6,93,all
pai,125,7,75,all
fazer,112,8,81,all
anos,108,9,75,all
irmãos,104,10,65,all
nunca,82,11,64,all
enquanto,77,12,68,all
tudo,72,13,57,all
mulher,68,14,54,all
homem,67,15,47,all
ser,64,16,46,all
ter,58,17,48,all
hoje,57,18,50,all
hora,56,19,54,all
pais,54,20,46,all
carro,52,21,35,all
nada,51,22,42,all
voltar,50,23,44,all
porque,48,24,36,all
louça,44,25,36,all
mim,44,25,39,all
ainda,44,25,40,all
lavar,44,25,34,all
homens,43,29,42,all
amigos,42,30,40,all
coisas,40,31,32,all
quarto,38,32,30,all
tarefas,38,32,34,all
dois,38,32,28,all
família,38,32,33,all
liberdade,37,36,35,all
limpar,36,37,29,all
dia,35,38,30,all
ficar,35,38,27,all
bem,35,38,32,all
irmã,35,38,26,all
ajudar,34,42,29,all
comida,33,43,22,all
vezes,32,44,25,all
dormir,32,44,24,all
vida,32,44,25,all
coisa,32,44,32,all
fazia,32,44,31,all
arrumar,31,49,27,all
mulheres,31,49,27,all
