feature,frequency,rank,docfreq,group
casa,240,1,138,all
irmão,237,2,134,all
mãe,159,3,99,all
pai,113,4,59,all
sempre,113,4,77,all
quarto,98,6,78,all
anos,98,6,69,all
podia,80,8,44,all
fazer,80,8,59,all
nunca,76,10,55,all
tudo,73,11,54,all
irmãos,64,12,46,all
hoje,62,13,55,all
homem,55,14,44,all
lavar,55,14,44,all
roupa,54,16,49,all
coisas,50,17,40,all
carro,50,17,32,all
nada,47,19,43,all
dinheiro,47,19,39,all
enquanto,44,21,38,all
ser,44,21,36,all
mulher,43,23,34,all
pais,42,24,31,all
ter,42,24,36,all
tarefas,40,26,36,all
louça,40,26,36,all
roupas,40,26,36,all
sair,38,29,33,all
dia,37,30,32,all
porque,36,31,27,all
fazia,36,31,30,all
irmã,36,31,22,all
limpar,34,34,26,all
dois,34,34,22,all
comida,32,36,25,all
dormir,31,37,22,all
ainda,31,37,26,all
ajudar,30,39,24,all
trabalho,29,40,23,all
vez,28,41,26,all
todos,28,41,25,all
mim,28,41,25,all
mulheres,28,41,20,all
família,28,41,24,all
vida,27,46,21,all
arrumar,26,47,22,all
novo,26,47,23,all
lavava,26,47,21,all
ficar,25,50,22,all
